business_id,district,sector,investment_lakhs,employee_count,power_requirement_kw,land_area_sqm,water_usage_kld,uses_hazardous_material,uses_boiler,is_service_sector,trade_license,gst_registration,factory_license,labour_registration,fire_noc,pollution_noc,environmental_clearance,fssai_license,boiler_license,explosives_license,electricity_noc,building_plan_approval
PB00001,Patiala,Agro-based,118.74,21,23.4,861.5,0.5,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
PB00002,Jalandhar,Leather Products,226.4,18,33.3,1246.4,19.2,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1
PB00003,Sangrur,Agro-based,224.3,16,29.1,867.6,0.5,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00004,Mohali,Plastic Products,1341.03,4,186.8,3792.8,13.5,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
PB00005,Jalandhar,Auto Components,1254.01,38,171.3,3607.4,7.7,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00006,Mohali,Food Processing,1179.8,63,183.7,5225.5,0.5,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1
PB00007,Hoshiarpur,Chemical,165.78,10,43.2,661.7,15.8,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
PB00008,Bathinda,Agro-based,709.52,1,113.3,1930.8,2.7,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1
PB00009,Mohali,Rice Milling,431.06,150,60.8,1444.0,19.7,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1
PB00010,Moga,Food Processing,111.55,6,5.4,384.5,1.0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1
PB00011,Hoshiarpur,Steel Rolling,3163.87,23,462.1,9230.4,5.1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1
PB00012,Mohali (SAS Nagar),Food Processing,611.27,29,113.7,908.9,14.3,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1
PB00013,Hoshiarpur,Plastic Products,140.35,44,33.7,1951.6,0.5,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
PB00014,Jalandhar,Furniture/Wood,891.07,62,141.6,1781.6,3.1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00015,Jalandhar,Food Processing,510.56,5,80.0,1724.3,0.5,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1
PB00016,Amritsar,Textile Dyeing,477.75,26,148.7,1718.7,29.1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1
PB00017,Patiala,Rice Milling,45.12,24,2.0,523.8,19.6,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
PB00018,Fatehgarh Sahib,Pharmaceutical,713.77,8,140.3,1974.2,17.5,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1
PB00019,Sangrur,Textile Dyeing,109.74,20,9.7,50.0,25.6,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0
PB00020,Patiala,Cement,780.46,27,120.0,2927.6,9.3,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1
PB00021,Amritsar,Paper & Pulp,455.47,11,92.9,720.8,32.4,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1
PB00022,Ludhiana,Textile Dyeing,137.1,9,28.2,657.4,7.8,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1
PB00023,Patiala,Rice Milling,299.42,9,83.2,1430.9,5.7,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1
PB00024,Rupnagar,Auto Components,246.79,28,64.2,523.7,6.6,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00025,Patiala,Chemical,183.04,13,33.7,1286.8,26.9,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1
PB00026,Moga,Rice Milling,338.35,12,59.9,1049.9,27.9,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1
PB00027,Sangrur,Auto Components,153.99,13,3.4,216.4,0.5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
PB00028,Jalandhar,Cement,2317.07,32,377.1,7301.3,3.9,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1
PB00029,Ludhiana,Rice Milling,27.18,7,2.0,53.8,22.1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0
PB00030,Ludhiana,Food Processing,562.61,1,79.0,1428.9,12.1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1
PB00031,Bathinda,Textile,2372.35,51,338.5,7175.3,7.9,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1
PB00032,Amritsar,Pharmaceutical,2671.67,4,424.9,8202.8,9.0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1
PB00033,Rupnagar,Textile Dyeing,136.41,25,9.9,50.0,19.1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0
PB00034,Ludhiana,Chemical,129.18,19,3.9,399.4,22.5,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1
PB00035,Sangrur,Auto Components,350.48,6,20.4,1153.2,0.5,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1
PB00036,Patiala,Leather Products,84.4,139,33.0,50.0,32.7,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0
PB00037,Bathinda,Engineering/Metal Fabrication,197.21,10,17.7,159.6,5.4,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
PB00038,Rupnagar,Textile,161.73,3,35.1,153.9,9.6,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
PB00039,Jalandhar,Auto Components,342.61,11,39.4,1408.0,13.9,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00040,Jalandhar,Paper & Pulp,942.75,17,138.3,3412.1,22.0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1
PB00041,Mohali (SAS Nagar),Plastic Products,42.87,6,2.0,50.0,5.1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0
PB00042,Fatehgarh Sahib,Plastic Products,2550.59,22,374.3,7968.2,23.2,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
PB00043,Ludhiana,IT/Software Services,443.96,7,51.0,233.6,5.4,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1
PB00044,Mohali (SAS Nagar),IT/Software Services,6000.0,3,929.9,18327.2,4.6,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
PB00045,Fatehgarh Sahib,Plastic Products,207.91,53,18.6,376.0,8.4,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
PB00046,Patiala,Textile Dyeing,262.9,34,40.9,143.7,9.6,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0
PB00047,Mohali,Steel Rolling,658.48,16,144.3,1160.8,5.9,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00048,Mohali (SAS Nagar),Furniture/Wood,1397.74,3,223.7,4310.6,19.5,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1
PB00049,Sangrur,Textile,1547.54,2,216.7,4330.6,25.6,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1
